Kod,Negara
4,Afghanistan          
8,Albania                    
10,Antarctica                      
12,Algeria                              
16,Samoa Amerika 
20,Andorra                
24,Angola                      
28,Antigua dan Barbuda                
31,Azerbaijan                                  
32,Argentina                                      
36,Australia                                      
40,Austria                                      
44,Bahamas                                        
48,Bahrain                                      
50,Bangladesh                                    
51,Armenia                                        
52,Barbados                                      
56,Belgium                                       
60,Bermuda                                      
64,Bhutan                                         
68,Bolivia                                        
70,Bosnia dan Herzegovina                        
72,Botswana                                       
74,Pulau Bouvet 
76,Brazil                                        
84,Belize                                        
86,Wilayah Lautan Hindi British 
90,Kepulauan Solomon 
92,Kepulauan Virgin (British)                      
96,Brunei Darussalam                             
100,Bulgaria                                       
104,Myanmar                                   
108,Burundi                                         
112,Belarus                                        
116,Cambodia                                      
120,Cameroon                                      
124,Kanada
132,Cape Verde                                     
136,Kepulauan Cayman 
140,Republik Afrika Tengah
144,Sri Lanka                                     
148,Chad                                          
152,Chile                                         
156,China                                          
158,Taiwan                                          
162,Pulau Krismas 
166,Kepulauan Cocos (Keeling) 
170,Colombia                                        
174,Comoros                                       
175,Mayotte                                         
178,Republik Congo
180,Republik Demokratik Congo (adalah Zaire)
184,Kepulauan Cook                                  
188,Costa Rica                                     
191,Croatia (Local name: Hrvatska)                
192,Cuba                                            
196,Cyprus                                         
203,Republik Czech 
204,Benin                                          
208,Denmark                                        
212,Dominika                                       
214,Republik Dominika
218,Ecuador                                         
222,El Salvador                                     
226,Equatorial Guinea                            
231,Ethiopia                                        
232,Eritrea                                         
233,Estonia                                       
234,Kepulauan Faroe 
238,Kepulauan Falkland (Malvinas)                     
239,Georgia Selatan dan Kepulauan Sandwich Selatan 
242,Fiji                                            
246,Finland                              
248,Kepulauan Aaland
250,Perancis
254,Guiana Perancis 
258,Polinesia Perancis                  
260,French Southern Territories                    
262,Djibouti                                      
266,Gabon                                         
268,Georgia                                        
270,Gambia                                          
275,"Palestinian Territory, Occupied                "
276,Jerman
288,Ghana
292,Gibraltar                                      
296,Kiribati                                        
300,Greece                                         
304,Greenland                                       
308,Grenada                                        
312,Guadeloupe                                   
316,Guam                                        
320,Guatemala                                      
324,Guinea                                        
328,Guyana                                         
332,Haiti                                          
334,Pulau Heard dan Kepulauan Mc Donald                   
336,Vatican City State (Holy See)                
340,Honduras                                        
344,Hong Kong                                       
348,Hungary                                        
352,Iceland                                      
356,India                                         
360,Indonesia                                      
364,Republik Islam Iran
368,Iraq                                           
372,Ireland                                        
376,Israel                                     
380,Itali
384,Cote D’ivoire                               
388,Jamaica                                    
392,Jepun
398,Kazakhstan                    
400,Jordan                                          
404,Kenya                                          
408,Republik Demokratik Rakyat Korea
410,Republik Korea
414,Kuwait                                      
417,Kyrgyzstan                                     
418,Republik Demokratik Rakyat Lao 
422,Lubnan
426,Lesotho                                       
428,Latvia                                        
430,Liberia                                       
434,Libyan Arab Jamahiriya                       
438,Liechtenstein                                   
440,Lithuania                                     
442,Luxembourg                                    
446,Macau                                         
450,Madagascar                                    
454,Malawi                                       
458,Malaysia                                      
462,Maldives                                     
466,Mali                                            
470,Malta                                         
474,Martinique                                    
478,Mauritania                                 
480,Mauritius                                      
484,Mexico                                          
492,Monaco                                          
496,Mongolia                                       
498,Republik Moldova
500,Montserrat                                   
504,Morocco           
508,Mozambique                                    
512,Oman                                          
516,Namibia                                
520,Nauru                                        
524,Nepal                                  
528,Belanda
530,Antilles Belanda
533,Aruba                                        
540,New Caledonia                           
548,Vanuatu                                     
554,New Zealand                                 
558,Nicaragua                                   
562,Niger                                        
566,Nigeria                                     
570,Niue                                           
574,Pulau Norfolk 
578,Norway                                         
580,Kepulauan Mariana Utara
581,United States Minor Outlying Islands            
583,Persekutuan Micronesia
584,Kepulauan Marshall 
585,Palau                                           
586,Pakistan                                       
591,Panama                                        
598,Papua New Guinea                              
600,Paraguay                                      
604,Peru                                            
608,Filipina 
612,Pitcairn                                    
616,Poland                             
620,Portugal                                   
624,Guinea-Bissau                                 
626,Timor-Leste                                   
630,Puerto Rico                                   
634,Qatar                                           
638,Reunion                                     
642,Romania                                     
643,Persekutuan Rusia
646,Rwanda                                    
654,Saint Helena       
659,Santo Kitts dan Nevis                          
660,Anguilla                 
662,Saint Lucia                                
666,Saint Pierre dan Miquelon                
670,Saint Vincent dan Grenadines            
674,San Marino                                 
678,Sao Tome dan Principe                      
682,Arab Saudi 
686,Senegal                                        
690,Seychelles                                     
694,Sierra Leone                                   
702,Singapura                                       
703,Slovakia                                        
704,Vietnam                                      
705,Slovenia                                      
706,Somalia                                        
710,Afrika Selatan
716,Zimbabwe                                      
724,Sepanyol
732,Sahara Barat                               
736,Sudan                                         
740,Suriname                                     
744,Svalbard and Jan Mayen Islands               
748,Swaziland                                     
752,Sweden                                        
756,Switzerland                                  
760,Republik Arab Syria
762,Tajikistan                                    
764,Thailand                                       
768,Togo                                           
772,Tokelau                                        
776,Tonga                                        
780,Trinidad dan Tobago                            
784,Emiriah Arab Bersatu                        
788,Tunisia                                        
792,Turki
795,Turkmenistan                                   
796,Kepulauan Turks dan Caicos                       
798,Tuvalu                                         
800,Uganda                                        
804,Ukraine                                        
807,Republik Bekas Yugoslavia Macedonia
818,Egypt                                         
826,United Kingdom                                
834,Republik Bersatu Tanzania                
840,Amerika Syarikat
