KOD_MASCO,SECTION_1D,DESCRIPTION_ENGLISH,DESCRIPTION_MALAY
11101,0,Pegawai Perubatan,Medical Officer
11102,0,Pegawai Pergigian,Dental officer
11103,0,Pegawai Farmasi,Pharmacy Officer
12101,0,Pegawai Rejimen Askar Melayu DiRaja (RAMD),Royal Malay Regiment Officer
12102,0,Pegawai Rejimen Renjer DiRaja (RRD),Royal Ranger Regiment Officer
12103,0,Pegawai Kor Armor DiRaja (KAD),Royal Armoured Corps Officer
12104,0,Pegawai Rejimen Semboyan DiRaja (RSD),Royal Signals Regiment Officer
12105,0,Pegawai Rejimen Askar Jurutera DiRaja (RAJD),Royal Engineer Regiment Officer
12106,0,Pegawai Rejimen Artileri Diraja (RAD),Royal Artillery Regiment Officer
12107,0,Pegawai Kor Perkhidmatan Am (KPA),General Services Corps Officer
12108,0,Pegawai Kor Kesihatan DiRaja (KKD),Royal Medical Corps Officer
12109,0,Pegawai Kor Polis Tentera DiRaja (KPTD),Royal Military Police Corps Officer
12110,0,Pegawai Kor Risik DiRaja (KRD),Royal Intelligence Corps Officer
12111,0,Pegawai Kor Perkhidmatan DiRaja (KPD),Royal Logistics Corps Officer
12112,0,Pegawai Kor Ordnan DiRaja (KOD),Royal Ordnance Corps Officer
12113,0,Pegawai Kor Jurutera Letrik dan Jentera DiRaja (KJLJD),Royal Electrical and Mechanical Engineer Corps Officer
12114,0,Pegawai Kor Agama Angkatan Tentera (KAGAT),Armed Forces Religious Corps Officer
12115,0,Pegawai Askar Wataniah (AW),Territorial Army Regiment Officer
12116,0,Pegawai Rejimen Sempadan (RS),Border Regiment Officer
13101,0,Anggota Infantri,Member of the Infantry
13102,0,Anggota Senjata Bantuan Infantri,Member of the Infantry Assistance Weapon
13103,0,Anggota Pengurusan Pengangkutan,Member of Transportation Management
13104,0,Krew Mekanize,Krew Mekanize
13105,0,Anggota Kerani Ketenteraan,Military Clerk
13106,0,Anggota Pentadbir Logistik,Member of Infantry
13107,0,Jurulatih Jasmani (TDM),Physical Trainer (MA)
13108,0,Juru Rintis Serang,Serang Pioneer
13109,0,Krew Semboyan,Team Crew
13110,0,Anggota Pancaragam (TDM),Member of the Brass Band (MA)
13111,0,Anggota Gerak Khas,Member of the Special Movement
13112,0,Krew Armor,Armor Crew
13113,0,Juruteknik Komunikasi dan Informasi,Communication and Information Technician
13114,0,Jurusistem Komunikasi dan Informasi,Communication and Information System
13115,0,Jurukomunikasi Kombat Semboyan,Spokesman Kombat Semboyan
13116,0,Jurupelan,Scratches
13117,0,Juruukur,Surveyor
13118,0,Penerap Bata,Bricklayers
13119,0,Jurukerja Paip,Pipe Worker
13120,0,Jurulogam,Metal Worker
13121,0,Tukang Kayu dan Tanggam,Wood Worker and Joiner
13122,0,Tukang Cat dan Hias,Painters and Decorators
13123,0,Pemandu Loji,Plant Driver
13124,0,Jurugegas Pembakaran Dalam dan Pam,Fitter Combustion and Pam
13125,0,Jurugegas Loji,Plant Supervisor
13126,0,Juruelektrik,Electrician
13127,0,Juruteknik Pemusnahan,Destruction Technician
13128,0,Jurumeriam,Gunners
13129,0,Pemprosesan Data Balistik,Ballistic Data Processing
13130,0,Juruukur Artileri,Artillery Surveyor
13131,0,Pengesan Artileri,Artillery Detectors
13132,0,Anggota Kawalan Tembakan,Members of the Shot Control
13133,0,Anggota Meriam Pertahanan Udara,Member of the Air Defense Artillery
13134,0,Jururadar,Radar Operator
13135,0,Kerani Perakaunan Ketenteraan,Military Accounting Clerk
13136,0,Jurusistem Perakaunan Ketenteraan,Military Accounting System
13137,0,Pembantu Pendidikan,Educational Assistant
13138,0,Wartawan Tempur,Combat Reporters
13139,0,Paramedik,Paramedics
13140,0,Penolong Pegawai Perubatan,Assistant Medical Officer
13141,0,Jururawat Terlatih,Trained Nurse
13142,0,Penolong Pegawai Kesihatan Persekitaran,Assistant Environmental Health Officer
13143,0,Juruteknologi Makmal Perubatan,Medical Laboratory Technologist
13144,0,Juru X-Ray,Radiographer
13145,0,Penolong Pegawai Farmasi,Assistant Pharmaceutical Officer
13146,0,Juruteknologi Pergigian,Dental Technologist
13147,0,Jururawat Pergigian,Dental Nurse
13148,0,Jurupulih Perubatan Anggota/Fisioterapi,Physiotherapist Medical
13149,0,Jurupulih Perubatan Cara kerja,"Medical Therapist, Occupational"
13150,0,Penolong Pegawai Veterinar,Assistant Veterinary Officer Grade G29
13151,0,Anggota Polis Tentera,Military Police Member
13152,0,Anggota Keselamatan dan Risik Balas,Security and Response Members
13153,0,Gerak Saraf Perang Saraf,The Nerves of the Nervous War
13154,0,Perisikan Imejeri,Imagery Intelligence
13155,0,Perisikan Strategik,Strategic Intelligence
13156,0,Operasi Human Intelligence,Operation Human Intelligence
13157,0,Operasi Perisikan Khas,Special Intelligence Operations
13158,0,Chef Tentera,Army Chef
13159,0,Juruteknik Logistik,Logistic Technician
13160,0,Juruteknik Peluru,Bullet Technician
13161,0,Juruteknik Percetakan,Printing Technician
13162,0,Juruteknik Kejuruteraan Automatif,Automotive Engineering Technician
13163,0,Juruteknik Kejuruteraan Elektronik,Electronic Engineering Technician
13164,0,Juruteknik Kejuruteraan Senjata,Weapons Engineering Technician
13165,0,Juruteknik Kejuruteraan Pembuatan,Manufacturing Engineering Technician
13166,0,Juruteknik Kejuruteraan Kembalik,Return Engineering Engineer
13167,0,Juruteknik Kejuruteraan Avionik,Avionic Engineering Technician
13168,0,Juruteknik Kejuruteraan Aeromekanikal,Aeromechanical Engineering Technician
13169,0,Juruteknik Kejuruteraan Persenjataan Pesawat,Aircraft Engineering Engineer
13170,0,Penasihat Hal Ehwal Islam Ketenteraan,Military Islamic Affairs Adviser
21101,0,Pegawai Eksekutif,Executive Officer
21102,0,Pegawai Teknikal,Technical Officer
21103,0,Pegawai Bekalan,Supply Officer
22101,0,Anggota Peperangan Atas Permukaan,Member of Surface Warfare
22102,0,Anggota Peperangan Bawah Permukaan (Senjata),Member of Submarine Warfare (Weapon)
22103,0,Anggota Peperangan Bawah Permukaan (Kawalan),Member of Submarine Warfare (Control)
22104,0,Anggota Juruplot Taktikal Peperangan,Member of Warfare Tactical Plotters
22105,0,Anggota Provos Tentera Laut,Member of Naval Provost
22106,0,Anggota Penyelam Ranjau,Diver
22107,0,Anggota Hidrografi,Member of Hydrography
22108,0,Anggota Komunikasi,Member of Communications
22109,0,Anggota Jurulatih Jasmani,Member of Physical Trainers
22110,0,Anggota Pentadbiran Dan Kewangan,Member of Administration and Finance
22111,0,Anggota Teknisyen Logistik,Member of Logistics Technicians
22112,0,Anggota Bendari,Member of Navy Cooks
