Kod,Sijil Tertinggi diperoleh
1,Masih belum bersekolah
2,Tiada sijil
3,Tidak berkenaan
21,SRA
22,PMR/SRP/LCE
31,SMA/SMU
32,4 Thanawi
33,SPM/MCE/SC/FMCE/CSC
34,SPVM/SPM(V)/MCVE
35,GCE ?O’ Level
36,Sijil kemahiran asas
41,STA/STAM/STU
42,STPM/STP/HSC
43,GCE ?A’ Level
44,Sijil Matrikulasi
51,Sijil kemahiran khusus dan teknikal
61,Sijil daripada badan-badan yang memberi pengiktirafan atau yang  setaraf
62,Sijil daripada kolej atau yang setaraf
63,Sijil daripada politeknik atau yang setaraf
64,Sijil daripada universiti atau yang setaraf
65,Sijil perguruan/kejururawatan/ kesihatan bersekutu
71,Diploma dalam kemahiran khusus atau teknikal
72,Diploma Lanjutan/Higher National Diploma dalam kemahiran khusus atau teknikal
81,Diploma daripada kolej atau yang setaraf (terutamanya kolej swasta)
82,Diploma daripada politeknik atau yang setaraf
83,Diploma daripada universiti atau yang setaraf
84,Diploma perguruan/kejururawatan/ kesihatan bersekutu
91,Ijazah Sarjana Muda/Diploma Lanjutan
92,Diploma/Sijil pasca ijazah atau dari badan profesional
93,Ijazah Sarjana
94,Doktor Falsafah (PhD)
95,Diploma/Sijil pasca kedoktoran
