S18,STATUS
111101,GOV
111102,GOV
111103,GOV
111104,GOV
111106,GOV
111107,GOV
111109,GOV
111110,GOV
111111,GOV
111112,GOV
111113,GOV
111115,GOV
111116,GOV
111201,GOV
111202,GOV
111203,GOV
111204,GOV
111205,GOV
111206,GOV
111207,GOV
111208,GOV
111209,GOV
111210,GOV
111211,GOV
111212,GOV
111213,GOV
111214,GOV
111215,GOV
111216,GOV
111217,GOV
111218,GOV
111219,GOV
111220,GOV
111221,GOV
111222,GOV
111223,GOV
111224,GOV
111225,GOV
111226,GOV
111227,GOV
111228,GOV
111229,GOV
111230,GOV
111231,GOV
111232,GOV
111233,GOV
111234,GOV
111235,GOV
111236,GOV
111237,GOV
111238,GOV
111239,GOV
111240,GOV
111241,GOV
111242,GOV
111243,GOV
111299,GOV
111301,GOV
131101,GOV
131110,GOV
141102,GOV
141105,GOV
211201,GOV
211202,GOV
211301,GOV
211302,GOV
211303,GOV
211304,GOV
211401,GOV
211402,GOV
211403,GOV
211404,GOV
211405,GOV
212101,GOV
212102,GOV
212103,GOV
213101,GOV
213102,GOV
213201,GOV
213202,GOV
213203,GOV
213204,GOV
213205,GOV
213206,GOV
213207,GOV
213208,GOV
213301,GOV
213325,GOV
214201,GOV
214202,GOV
214203,GOV
214204,GOV
214205,GOV
214206,GOV
214207,GOV
214208,GOV
214209,GOV
214243,GOV
214401,GOV
214402,GOV
214501,GOV
214505,GOV
214528,GOV
214901,GOV
214902,GOV
214903,GOV
214904,GOV
214905,GOV
214906,GOV
214907,GOV
215101,GOV
215102,GOV
215201,GOV
215202,GOV
216101,GOV
216102,GOV
216201,GOV
216202,GOV
216401,GOV
216402,GOV
216501,GOV
216502,GOV
216503,GOV
216601,GOV
217201,GOV
217202,GOV
217301,GOV
217302,GOV
217303,GOV
217401,GOV
217402,GOV
221101,GOV
221102,GOV
221103,GOV
221120,GOV
221122,GOV
221123,GOV
222101,GOV
222102,GOV
225101,GOV
225102,GOV
226101,GOV
226102,GOV
226103,GOV
226121,GOV
226201,GOV
226202,GOV
226209,GOV
226210,GOV
226301,GOV
226323,GOV
226324,GOV
226401,GOV
226402,GOV
226403,GOV
226415,GOV
226416,GOV
226501,GOV
226701,GOV
226802,GOV
226901,GOV
226902,GOV
226903,GOV
226904,GOV
231101,GOV
231102,GOV
231103,GOV
231104,GOV
231105,GOV
231106,GOV
231107,GOV
231108,GOV
231109,GOV
233101,GOV
234101,GOV
236101,GOV
